# # Age,Chinese Name,Code,Country Of Origin,Dam,English Name,Foaling Date,Former Name,Import Type,Sire,_id,awt,class,code,date,dhw,dist,draw,finishTime,going,horseName,horseNo,jockey,lbw,money,odds,plc,raceCource,raceName,raceNo,road,runPos,trainer,Jockey,騎師,Win_x,Jockey2,Trainer,練馬師,Win_y,Trainer2
7,明月光 ,T369,IRE,Annee Lumiere,ACCLAIMED LIGHT,18/04/2012,Acclaimed Light,PP,Acclamation,5ccbfdbacce52f167aeb8e4e,119,Class 3,T369,2015-11-29 00:00:00,1037,1400M,11,1:22.62,GOOD,ACCLAIMED LIGHT,10.0,K C Leung,3-1/2,1165000,45,7,ST,CHEVALIER LIFTS & ESCALATORS HANDICAP,7,TURF - C Course,9 9 10 7,P O'Sullivan,Leung K.C.,梁家俊,6.0,K C Leung,O'Sullivan P.,蘇保羅,13.0,P O'Sullivan
7,歡樂一生 ,T134,AUS,Cheer Girl,JOYFUL MOMENTS,15/10/2011,Sequential Leader,PPG,Sequalo,5ccbfdbacce52f167aeb8e50,122,Class 3,T134,2015-11-29 00:00:00,1094,1400M,14,1:22.40,GOOD,JOYFUL MOMENTS,9.0,C Schofield,2,1165000,6.5,3,ST,CHEVALIER LIFTS & ESCALATORS HANDICAP,7,TURF - C Course,12 11 9 3,R Gibson,Schofield C.,史卓豐,7.0,C Schofield,Gibson R.,高伯新,5.0,R Gibson
8,大運舞台 ,T256,NZ,The Quarewan,THE SHOW,17/09/2010,The Show,PP,High Chaparral,5ccbfdbacce52f167aeb8e55,129,Class 3,T256,2015-11-29 00:00:00,1083,1400M,10,1:22.89,GOOD,THE SHOW,4.0,B Prebble,5-1/4,1165000,5.6,12,ST,CHEVALIER LIFTS & ESCALATORS HANDICAP,7,TURF - C Course,1 4 6 12,C H Yip,Prebble B.,柏寶,10.0,B Prebble,Yip C.H.,葉楚航,7.0,C H Yip
7,事勝意 ,T391,NZ,Lacada,GIANT TURTLE,22/10/2011,Giant Turtle,PP,Zabeel,5ccbfdbacce52f167aeb8e57,133,Class 3,T391,2015-11-29 00:00:00,1031,1400M,7,1:23.21,GOOD,GIANT TURTLE,1.0,V Cheminaud,7-1/4,1165000,341,14,ST,CHEVALIER LIFTS & ESCALATORS HANDICAP,7,TURF - C Course,14 14 14 14,A Schutz,Cheminaud V.,湛明諾,6.0,V Cheminaud,Schutz A.,孫達志,4.0,A Schutz
8,勁嘉輝 ,T236,AUS,Myrrh,ENORMOUS HONOUR,22/10/2010,Enormous Honour,PP,Encosta de Lago,5ccbfdbacce52f167aeb8e68,132,Class 3,T236,2015-11-29 00:00:00,1126,1600M,1,1:35.31,GOOD,ENORMOUS HONOUR,1.0,B Prebble,2-1/2,1165000,6,2,ST,CHEVALIER PROPERTY DEVELOPMENT HANDICAP,9,TURF - C Course,7 5 5 2,Y S Tsui,Prebble B.,柏寶,10.0,B Prebble,Tsui Y.S.,徐雨石,8.0,Y S Tsui
8,觀自在 ,S015,NZ,Asiana,ISHVARA,05/10/2010,----,PPG,Coats Choice,5ccbfdbacce52f167aeb8e78,120,Class 2,S015,2015-11-29 00:00:00,1076,1400M,9,1:21.91,GOOD,ISHVARA,8.0,K C Leung,2,1650000,64,5,ST,CHEVALIER SENIOR HOUSING HANDICAP,10,TURF - C Course,8 8 8 5,T P Yung,Leung K.C.,梁家俊,6.0,K C Leung,Yung T.P.,容天鵬,7.0,T P Yung
8,比卡超 ,S298,NZ,Mumtaz,PIKACHU,23/10/2010,Pikachu,PP,Keeper,5ccbfdbacce52f167aeb8e7a,130,Class 2,S298,2015-11-29 00:00:00,1117,1400M,8,1:22.04,GOOD,PIKACHU,2.0,R Fourie,2-3/4,1650000,51,7,ST,CHEVALIER SENIOR HOUSING HANDICAP,10,TURF - C Course,13 12 11 7,D E Ferraris,Fourie R.,霍勵賢,3.0,R Fourie,Ferraris D.E.,霍利時,4.0,D E Ferraris
7,勇霸神駒 ,T403,AUS,Gypsy Mai,KINGSFIELD,28/10/2011,Rom Baro,PP,Time Thief,5ccbfdbacce52f167aeb8e7c,120,Class 2,T403,2015-11-29 00:00:00,1116,1400M,10,1:22.26,GOOD,KINGSFIELD,12.0,B Prebble,4,1650000,31,9,ST,CHEVALIER SENIOR HOUSING HANDICAP,10,TURF - C Course,1 1 2 9,R Gibson,Prebble B.,柏寶,10.0,B Prebble,Gibson R.,高伯新,5.0,R Gibson
7,英明神駒 ,V046,FR,Ashalanda,RICKFIELD,08/04/2012,Ashlan,PP,Dansili,5ccbfdbacce52f167aeb8e7f,126,Class 2,V046,2015-11-29 00:00:00,1099,1400M,6,1:22.65,GOOD,RICKFIELD,5.0,C Schofield,6-1/2,1650000,134,12,ST,CHEVALIER SENIOR HOUSING HANDICAP,10,TURF - C Course,12 10 13 12,A T Millard,Schofield C.,史卓豐,7.0,C Schofield,Millard A.T.,苗禮德,8.0,A T Millard
8,賞面 ,S324,AUS,Gemstone Peak,OUR HONOUR,11/10/2010,Ratcat,PPG,Purrealist,5ccbfdbacce52f167aeb8e82,132,Class 5,S324,2015-11-25 00:00:00,1124,1200M,1,1:11.53,GOOD,OUR HONOUR,1.0,B Prebble,-,600000,5.4,1,HV,DUMBARTON HANDICAP,1,TURF - C Course,5 6 1,W Y So,Prebble B.,柏寶,10.0,B Prebble,So W.Y.,蘇偉賢,7.0,W Y So
7,漸信名駒 ,T253,USA,Aucilla,JIMSON THE FAMOUS,26/03/2012,----,PPG,Yes It's True,5ccbfdbacce52f167aeb8e97,118,Class 4,T253,2015-11-25 00:00:00,1040,1200M,10,1:12.03,GOOD,JIMSON THE FAMOUS,10.0,V Cheminaud,6,800000,183,9,HV,DUNBAR HANDICAP,2,TURF - C Course,9 10 9,C H Yip,Cheminaud V.,湛明諾,6.0,V Cheminaud,Yip C.H.,葉楚航,7.0,C H Yip
7,恆駿寶駒 ,T262,NZ,Bislieri,HANG'S DECISION,15/09/2011,----,PPG,Postponed,5ccbfdbacce52f167aeb8e9e,121,Class 4,T262,2015-11-25 00:00:00,1118,1200M,7,1:11.43,GOOD,HANG'S DECISION,9.0,B Prebble,1-3/4,800000,37,4,HV,DUNBAR HANDICAP,3,TURF - C Course,11 10 4,W Y So,Prebble B.,柏寶,10.0,B Prebble,So W.Y.,蘇偉賢,7.0,W Y So
6,全勝姿態 ,V011,AUS,Evening Pleasures,FORMULA GALORE,29/10/2012,Wan Chai Warrior,PPG,Not A Single Doubt,5ccbfdbacce52f167aeb8ea1,127,Class 4,V011,2015-11-25 00:00:00,1072,1200M,11,1:11.54,GOOD,FORMULA GALORE,4.0,Z Purton,2-1/2,800000,13,7,HV,DUNBAR HANDICAP,3,TURF - C Course,12 12 7,C Fownes,Purton Z.,潘頓,15.0,Z Purton,Fownes C.,方嘉柏,8.0,C Fownes
8,怡德 ,T055,AUS,Gone Wild,THE SYLPH,12/09/2010,Tikitour,PP,Dane Shadow,5ccbfdbacce52f167aeb8eb8,129,Class 4,T055,2015-11-25 00:00:00,1018,1650M,6,1:42.85,GOOD,THE SYLPH,4.0,R Fourie,5-1/4,800000,8.6,6,HV,LOMOND HANDICAP,5,TURF - C Course,8 8 8 6,D E Ferraris,Fourie R.,霍勵賢,3.0,R Fourie,Ferraris D.E.,霍利時,4.0,D E Ferraris
9,勁勇威龍 ,S078,NZ,Annie Daly,SPINNING DANCER,04/09/2009,Spinning Dancer,PP,Commands,5ccbfdbacce52f167aeb8ebb,132,Class 4,S078,2015-11-25 00:00:00,1023,1650M,7,1:43.37,GOOD,SPINNING DANCER,1.0,V Cheminaud,8-1/2,800000,22,9,HV,LOMOND HANDICAP,5,TURF - C Course,7 7 7 9,S Woods,Cheminaud V.,湛明諾,6.0,V Cheminaud,Woods S.,胡森,5.0,S Woods
8,君悅灣 ,P421,NZ,Haberdashery,GRAND HARBOUR,16/11/2010,----,PPG,Savabeel,5ccbfdbacce52f167aeb8eca,125,Class 3,P421,2015-11-25 00:00:00,1174,1650M,7,1:42.44,GOOD,GRAND HARBOUR,7.0,C Schofield,4-1/2,1165000,30,11,HV,THE ST ANDREW'S CHALLENGE QUAICH (HANDICAP),6,TURF - C Course,3 5 6 11,J Moore,Schofield C.,史卓豐,7.0,C Schofield,Moore J.,約翰摩亞,10.0,J Moore
8,火麒麟 ,T052,GB,Sparkling Eyes,RED KYLIN,23/04/2011,Blurred Vision,PP,Royal Applause,5ccbfdbacce52f167aeb8ed0,115,Class 3,T052,2015-11-25 00:00:00,1082,1200M,4,1:11.19,GOOD,RED KYLIN,12.0,K Teetan,4,1165000,30,5,HV,STIRLING HANDICAP,7,TURF - C Course,6 7 5,P F Yiu,Teetan K.,田泰安,8.0,K Teetan,Yiu P.F.,姚本輝,7.0,P F Yiu
8,騰煌 ,S447,NZ,Queen To Be,TEN FLAMES,20/10/2010,----,PPG,O'Reilly,5ccbfdbacce52f167aeb8ed4,114,Class 3,S447,2015-11-25 00:00:00,1132,1200M,10,1:11.38,GOOD,TEN FLAMES,9.0,T H So,5-1/4,1165000,11,9,HV,STIRLING HANDICAP,7,TURF - C Course,8 6 9,L Ho,So T.H.,蘇狄雄,4.0,T H So,Ho L.,何良,8.0,L Ho
7,駕迅 ,T063,AUS,Rondalla,AMBITIOUS SPEEDY,14/09/2011,Dallas Cowboy,PPG,Bon Hoffa,5ccbfdbacce52f167aeb8ee7,133,Class 5,T063,2015-11-21 00:00:00,1150,1400M,10,1:23.27,GOOD,AMBITIOUS SPEEDY,1.0,H W Lai,1-1/4,600000,27,4,ST,TUNG CHUNG HANDICAP,1,TURF - B+2 Course,13 12 12 4,A Lee,Lai H.W.,黎海榮,4.0,H W Lai,Lee A.,李易達,6.0,A Lee
