Chinese Name,Code,English Name,Former Name,Sire,Dam,Import Type,Country Of Origin,Age,Foaling Date
鵰神 ,B023,DEAL MAKER,----,Darci Brahma,Wildcat Woman,PPG,NZ,5,15/09/2013
博愛友威 ,C152,DECISIVE ACTION,Decisive Action,Rip Van Winkle,Shared Experience,PP,IRE,3,07/01/2016
關鍵時機 ,C159,DEFINING MOMENT,Mussoorie Magic,Good Journey,Bella Bellucci,PP,AUS,4,13/10/2014
迪雅卓 ,C811,DEIRDRE,----,Harbinger,Reizend,VIS,JPN,5,04/04/2014
笑逐顏開 ,A099,DELIGHT EXPRESS,Torelli,Tavistock,Wahaha,PP,NZ,6,22/10/2012
八進 ,B263,DEMONS ROCK,Demons Rock,Requinto,Afnoon,PP,IRE,4,30/04/2015
天意 ,V417,DESTIN,One Last Look,Duporth,Lady Jaguar,PPG,AUS,5,24/09/2013
閃耀榮光 ,B372,DIAMOND BRILLIANT,----,Not A Single Doubt,Aringarosa,ISG,AUS,4,16/10/2014
鑽飾飛龍 ,V002,DIAMOND DRAGON,Diamond Dragon,Not A Single Doubt,Umatilly,PP,AUS,7,14/11/2011
閃耀鑽皇 ,S347,DIAMOND KING,----,O'Reilly,The Dazzler,ISG,NZ,7,03/09/2011
鑽石達人 ,V341,DIAMOND LEGEND,Northern Legend,More Than Ready,Aqua d'Amore,PP,AUS,6,30/09/2012
鑽飾明駝 ,B183,DIAMOND RHYME,Keeper Keen,Sebring,Keeper Quiet,PP,AUS,4,20/08/2014
幸運寶策 ,C246,DIGITAL TRIUMPH,----,Bernardini,Miss Zapper,PPG,AUS,3,13/08/2015
達羅素 ,V246,DINOZZO,Dinozzo,Lilbourne Lad,Nisriyna,PP,IRE,6,07/04/2013
醉醒神 ,B436,DIONYSUS COLLIN,Ulysse Colin,Dream Ahead,Charlety Star,PPG,AUS,3,15/11/2015
區域快車 ,B136,DISTRICT EXPRESS,----,O'Reilly,Flutter,PPG,NZ,4,01/11/2014
好醒神 ,C175,DIVINE POWER,----,Sebring,Sharp Secretary,PPG,AUS,3,01/11/2015
神舟寶駒 ,C269,DIVINE UNICORN,Divine Unicorn,Lope de Vega,Inchberry,PP,GB,5,25/04/2014
幸福分享 ,A409,DOCTOR GEOFF,Doctor Geoff,Fast Company,More Respect,PP,IRE,5,29/03/2014
喜悅明駒 ,A044,DOCTORS DELIGHT,----,Casino Prince,Miraflores,PPG,NZ,6,22/09/2012
理想回報 ,A305,DOLLAR REWARD,Dollar Reward,Shamardal,Cape Dollar,PP,GB,6,11/04/2013
多多 ,C109,DOR DOR,----,Shamexpress,Queen Of Avalon,PPG,NZ,3,14/09/2015
東方孖寶 ,T267,DOUBLE DOUBLE,----,Volksraad,Rita Moreno,PPG,NZ,6,09/11/2012
友情人 ,A163,DOUBLE VALENTINE,Currency Converter,Exchange Rate,Ruby's Realm,PP,USA,5,14/02/2014
