date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,Gear_5,B,H,TT,CP,V,XB,SR,P,PC,E,BO,PS,SB,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180110.0,3.0,8.0,10.0,6.0,8.0,4/2/5/7/2/2,nan,SHOWING CHARACTER,T289,K Teetan,nan,3.0,D E Ferraris,50,+16,1112.0,+13,1.10.14,6.0,-,661100.0,* 2,TT,Gold Mines Syndicate,Showcasing,Lalectra,PP,123.0,TURF - B Course,1200M,4,4,2,5,7,2,2,TT,None,None,None,nan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.5,14.0,4.0,0.24761904761904763,0.2564102564102564,11.0
20180110.0,3.0,5.0,6.1,5.0,5.0,4/2/8/5,nan,CLEAR CHOICE,A426,Z Purton,nan,11.0,C S Shum,51,-9,1070.0,-3,1.10.36,4.0,-,1056000.0,+ 1,TT,Eighth Floor Syndicate,Rebel Raider,Callipygian,PPG,124.0,TURF - B Course,1200M,4,4,2,8,5,6.447611710323523,6.440471353108529,TT,None,None,None,nan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.25,1.0,1.0,0.43781094527363185,0.28160919540229884,7.0
20180110.0,3.0,2.0,44.0,4.0,2.0,9/8/4/1/2/6,nan,LOVE CHUNGHWA,T207,N Rawiller,nan,10.0,T P Yung,59,+18,1177.0,-9,1.10.08,8.0,-,853600.0,1,TT,Chiu Kwan Chi,Elusive City,Lucky Norwegian,PP,132.0,TURF - B Course,1200M,4,9,8,4,1,2,6,TT,None,None,None,nan,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.46153846153846156,14.0,6.0,0.30434782608695654,0.22395833333333334,10.0
20180110.0,3.0,11.0,10.0,3.0,11.0,6/12/9/9/13/10,nan,THE SHOW,T256,W M Lai,nan,4.0,C H Yip,42,-10,1108.0,+16,1.10.11,7.0,-,354200.0,1,B,Lucky Star Syndicate,High Chaparral,The Quarewan,PP,115.0,TURF - B Course,1200M,4,6,12,9,9,13,10,B,None,None,None,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,3.0,0.0,0.10606060606060606,0.20476190476190476,2.5
20180110.0,3.0,12.0,11.0,2.0,12.0,6/9/11/11/9/3,nan,BINGO,A301,M Chadwick,nan,5.0,J Moore,41,-16,1169.0,-4,nan,3.0,-,1438800.0,+ 1,B/TT,Brian Sun Sam Chau Chiu Yin Peter Sun Kwok Wah & Wilson Lee Kwong Ching,Hinchinbrook,Startling Pleasure,PPG,114.0,TURF - B Course,1200M,4,6,9,11,11,9,3,B,TT,None,None,nan,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.0,9.0,0.0,0.20388349514563106,0.25196850393700787,2.5
20180110.0,3.0,3.0,4.0,1.0,3.0,1/6/2/6/10/3,nan,SPRING WIN,V157,N Callan,nan,2.0,P F Yiu,54,+11,1069.0,+3,1.09.66,5.0,-,1485000.0,1,B,Yu Pang Chun & Yu Kwok Chun,Magic Albert,Inaname,PPG,127.0,TURF - B Course,1200M,4,1,6,2,6,10,3,B,None,None,None,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.6,13.0,3.0,0.23076923076923078,0.32857142857142857,12.0
20180110.0,2.0,3.0,27.0,12.0,3.0,12/13/10/10/7/3,nan,MASTER VIKING,S385,N Rawiller,nan,9.0,A T Millard,57,+17,1230.0,+18,1.09.99,6.0,-,154000.0,* 1,V/TT,Winway Racing Syndicate,Mastercraftsman,Code Black,PPG,130.0,TURF - B Course,1200M,4,12,13,10,10,7,3,V,TT,None,None,nan,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.25,10.0,4.0,0.30434782608695654,0.17757009345794392,5.5
20180110.0,2.0,11.0,24.0,11.0,11.0,4/8/6/11/3/7,nan,RICHCITY FORTUNE,V088,M Chadwick,nan,5.0,J Moore,42,+12,1180.0,+22,1.10.53,5.0,-,231000.0,* 2,H/XB,Rich City Syndicate,Lope de Vega,Dancescape,PPG,115.0,TURF - B Course,1200M,4,4,8,6,11,3,7,H,XB,None,None,nan,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.35714285714285715,6.0,5.0,0.20388349514563106,0.25196850393700787,7.0
20180110.0,2.0,1.0,27.0,10.0,1.0,9/1/5/10/9/2,nan,CALIFORNIA ASPAR,A117,K C Ng,nan,4.0,A S Cruz,60,0,1013.0,0,1.10.68,5.0,-,802650.0,1,B/H/TT,Howard Liang Yum Shing Chloe Liang Shun Yin & Charmian Liang Shun Ming,Holy Roman Emperor,Lisa Gherardini,PP,130.0,TURF - B Course,1200M,4,9,1,5,10,9,2,B,H,TT,None,nan,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.25,15.0,1.0,0.056179775280898875,0.2222222222222222,5.5
20180110.0,2.0,10.0,70.0,9.0,10.0,12/8/5/12/12/5,nan,ELEGANCE PROMISE,A020,M L Yeung,nan,2.0,A Lee,42,+2,1069.0,+30,nan,4.0,-,30800.0,+ 1,H,Wu Yan Wah,Kane Hekili,Eureka Chan,PPG,113.0,TURF - B Course,1200M,4,12,8,5,12,12,5,H,None,None,None,nan,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0.24822064056939647,7.406880189798339,1.8383748517200476,0.17037037037037037,0.07964601769911504,6.597271648873073
