Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Sex,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,going,class,raceNo,raceCourse,SireRank,DamRank,Win_x,2nd_x,3rd_x,4th_x,5th_x,Total Rides_x,Stakes Won_x,Win_y,2nd_y,3rd_y,4th_y,5th_y,Total Rides_y,Stakes Won_y
5,4/4/9/12/7/8,,RELENTLESS ME,A178,R Bayliss,,10,W Y So,56,-2,1151,-6,1.40.33,5,-,g,952200,1,,Bankee Kwan Pak Hoo,Statue Of Liberty,Snow Flight,PPG,130.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,6.0,5.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,5.0,0.0,0.0,0.0,0.0,417,$29199425
6,6/3/8/7/7/4,,SHAMPORT,B167,K Teetan,,1,C Fownes,56,-2,1078,+14,1.41.38,4,-,g,188600,1,PC-,Winnie Law Wing Yin,Shamardal,Port Providence,PP,130.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,8.0,nan,13.0,0.0,0.0,0.0,0.0,555,$95338160,7.0,0.0,0.0,0.0,0.0,383,$41599150
7,12/9/8/3/5,,SHINEALOT,C046,M Harley,,5,R Gibson,51,-2,1067,+6,1.42.10,4,-,g,138000,2,,HK Football Club Horse Racing Syndicate,Siyouni,Doubrovska,PPG,125.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,8.0,12.0,5.0,0.0,0.0,0.0,0.0,82,$4067550,7.0,0.0,0.0,0.0,0.0,337,$41529695
8,4/6/6/8/1/3,,SHINING ON,A359,C Y Ho,,9,K W Lui,50,-1,1008,-6,1.40.32,5,-,g,887800,1,,Susie Wong Li Chia,O'Reilly,Savabeel Star,PPG,124.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,6.0,4.0,10.0,0.0,0.0,0.0,0.0,443,$55460740,7.0,0.0,0.0,0.0,0.0,332,$31537875
9,1/11/12/7/1/10,,THE FULL BLOOM,V243,G van Niekerk,,4,C H Yip,48,+5,1067,-1,1.39.98,6,-,g,972900,2,,Gary Lee Sai Ho,Zebedee,Break Of Dawn,PP,122.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,6.0,1.0,7.0,0.0,0.0,0.0,0.0,322,$32053775,8.0,0.0,0.0,0.0,0.0,458,$35142225
10,4/4/6/9/4/11,,ENJOY LIFE,A125,K C Leung,,2,Y S Tsui,47,0,1105,-7,1.40.47,5,-,g,197800,1,B,Enrico Chow Yue Hin,Falkirk,Sorbello,PPG,121.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,4.0,4.0,5.0,0.0,0.0,0.0,0.0,380,$35009625,8.0,0.0,0.0,0.0,0.0,449,$36322960
11,8/5/6/5/1/10,,POLYMER LUCK,T326,M L Yeung,,8,K H Ting,45,-2,1052,+7,1.39.93,6,-,g,694600,1,B,Alan Cheng Kin Sang,Pins,Savamour,ISG,117.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,6.0,8.0,5.0,0.0,0.0,0.0,0.0,330,$21071950,13.0,0.0,0.0,0.0,0.0,248,$24169720
12,1/8/8/9/7/10,,RIGHTEOUS MATE,A419,A Domeyer,2,3,A T Millard,43,+5,1201,+6,1.39.92,5,-,g,499100,2,,Friends of Fai Fai Syndicate,Savabeel,Mill Duckie,PP,117.0,TURF - A Course,1650M,GOOD,Class 4,4,HV,6.0,nan,15.0,0.0,0.0,0.0,0.0,13,$1766400,12.0,0.0,0.0,0.0,0.0,282,$41467710
1,12,,ARDENODE,B145,K C Ng,,5,W Y So,80,0,1051,+18,,4,-,g,0,1,TT,Frankie Ng Wai Hang & Ng Wai Hung,Hellvelyn,Coconut Kisses,PP,130.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,nan,nan,0.0,0.0,0.0,0.0,0.0,74,$1124275,5.0,0.0,0.0,0.0,0.0,417,$29199425
2,11/10/11,,BEAR AGAIN,C301,M Harley,,11,D E Ferraris,76,-2,1064,+16,0.58.09,4,-,g,0,1,,Peter P C Fan Montgomery Ho Shun Wah & Dr Michael Mok Hing Hung,Var,Frequent Flyer,PP,129.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,10.0,10.0,5.0,0.0,0.0,0.0,0.0,82,$4067550,5.0,0.0,0.0,0.0,0.0,394,$22761940
3,12/11/11/11/10/12,,KEEP MOVING,A124,R Bayliss,,7,P F Yiu,75,-3,1118,+4,0.57.07,5,-,g,786600,1,B/TT-,Andrew Fan Chun Wah Adam Lee Yat Keung & Gary Mui Ho Cheung,Darci Brahma,Miss Raggedy Ann,PPG,128.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,5.0,12.0,4.0,0.0,0.0,0.0,0.0,114,$6728975,6.0,0.0,0.0,0.0,0.0,346,$31737600
4,2/7/5/8/4/13,,MAGIC LEGEND,A170,Z Purton,,3,J Moore,75,+1,1033,+10,0.56.82,5,-,g,468900,+ 1,CP,Jason Tam Siu Keung,Red Element,Trail Of Secrets,PP,128.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,4.0,2.0,22.0,0.0,0.0,0.0,0.0,525,$184804365,13.0,0.0,0.0,0.0,0.0,410,$104851100
5,11/11,,BREEDERS' SKY,C162,N Callan,,10,R Gibson,73,-2,1084,-6,,4,-,g,0,1,CP1,Hong Kong Breeders Club Syndicate,Snitzel,My Amazing Dream,PP,126.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,6.0,nan,4.0,0.0,0.0,0.0,0.0,331,$26237400,7.0,0.0,0.0,0.0,0.0,337,$41529695
6,6/7,,HONG KONG BET,C082,K Teetan,,1,A S Cruz,72,-1,1080,+11,0.57.13,3,-,g,0,+ 1,TT,Wilson Ho The Hon Junius Ho Kwan Yiu & Bruce Lee Sing Keung,Smart Missile,Dublin Me Bet,PP,125.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,6.0,6.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,10.0,0.0,0.0,0.0,0.0,464,$93973550
7,8/1/1/10/4,,FRUSTRATED,C218,C Wong,,2,F C Lor,70,0,1063,+16,0.56.97,3,-,g,1104000,+ 1,,Derek Wong Siu Ming,All Too Hard,Brave Soul,PPG,118.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,7.0,8.0,12.0,0.0,0.0,0.0,0.0,326,$38085325,15.0,0.0,0.0,0.0,0.0,355,$122571500
8,3/3/9/5/11/7,,HEALTHY LUCK,A064,U Rispoli,,6,K L Man,65,0,1036,+6,0.56.70,5,-,g,365700,1,XB1,Loh Dai Jur Elton Loh Kin David Loh Wai & Benjamin Loh Kwuen Ting,Written Tycoon,Schapelle,PPG,118.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,6.0,3.0,6.0,0.0,0.0,0.0,0.0,409,$31165425,6.0,0.0,0.0,0.0,0.0,353,$23743655
9,7/10/1/4/1/3,,STRATHALLAN,B178,M F Poon,,8,A T Millard,63,0,1087,+12,0.57.19,3,-,g,1209800,+ 1,,Mr & Mrs Iain Bruce,Stratum,Base Paradise,PPG,113.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,4.0,nan,7.0,0.0,0.0,0.0,0.0,389,$35001695,12.0,0.0,0.0,0.0,0.0,282,$41467710
10,8/9/12/4/4/2,,IRON BOY,V071,H T Mo,,9,K W Lui,61,-2,1183,+8,0.57.33,7,-,g,165600,1,TT,Alex Chan Ka Ming,California Dane,Carnebelle,PP,111.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,7.0,8.0,7.0,0.0,0.0,0.0,0.0,309,$25302050,7.0,0.0,0.0,0.0,0.0,332,$31537875
11,2/3/2/2/7/3,,LOOK ERAS,V123,T H So,,12,Y S Tsui,61,+1,1095,+11,0.57.19,6,-,g,1021200,+ 1,B,Lai Tat Ming,Dream Ahead,Arabian Art,PPG,112.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,6.0,2.0,3.0,0.0,0.0,0.0,0.0,158,$4797125,8.0,0.0,0.0,0.0,0.0,449,$36322960
12,5/3/3/4/2/10,,NOBLE DELIGHT,B199,J Moreira,2,4,J Size,61,-1,1038,+11,0.57.18,4,-,g,954500,+ 1,B1,Vivian Tang,Jimmy Choux,Set,PPG,114.0,TURF - A Course,1000M,GOOD,Class 3,5,HV,5.0,3.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,15.0,0.0,0.0,0.0,0.0,415,$121801450
1,6/3/1/13/2/3,,UNIVERSAL GO GO,B132,C Y Ho,,2,K W Lui,60,0,1115,+16,1.39.72,4,-,g,1518000,2,,The Executors of the Estate of the late George Wong Kin Wah,Azamour,Love Blooms,PPG,133.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,10.0,nan,10.0,0.0,0.0,0.0,0.0,443,$55460740,7.0,0.0,0.0,0.0,0.0,332,$31537875
2,2/5/9/8/7/12,,ELECTRIC LIGHTNING,A189,M Harley,,7,D E Ferraris,58,+2,1053,+14,1.39.88,5,-,g,920000,1,B/TT,Samson Yip Yan Tion Dumas Chow Wai Sang & Eric Tong Man Leung,Not A Single Doubt,Plain Crazy,PPG,131.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,8.0,2.0,5.0,0.0,0.0,0.0,0.0,82,$4067550,5.0,0.0,0.0,0.0,0.0,394,$22761940
3,4/3/6/1/8/4,,PERFECT TO PLAY,B095,K Teetan,,1,C Fownes,57,0,1009,+21,1.40.11,5,-,g,772800,2,H/TT,Mr & Mrs Ringo Ng Yiu Kwok Jasmine Ng Kwan Yin and Harry Ng Kwan Hang,Born To Sea,Centreofattention,PP,130.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,4.0,4.0,13.0,0.0,0.0,0.0,0.0,555,$95338160,7.0,0.0,0.0,0.0,0.0,383,$41599150
4,1/3/3/10/12,,TRUE GRIT,B232,J Moreira,,3,J Size,57,+6,1007,-14,1.39.94,4,-,g,736000,* 1,E/V,Wong Yuk Lun,Wanted,Sedoso,PPG,130.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,4.0,1.0,18.0,0.0,0.0,0.0,0.0,338,$100795525,15.0,0.0,0.0,0.0,0.0,415,$121801450
5,1/6/6/11,,MY FAMILY,C187,C Schofield,,11,Y S Tsui,53,+5,1166,+5,1.40.57,3,-,g,524400,2,,Lai Tat Ming,Jimmy Choux,Set,PPG,126.0,TURF - A Course,1650M,GOOD,Class 4,6,HV,5.0,3.0,8.0,0.0,0.0,0.0,0.0,341,$42621250,8.0,0.0,0.0,0.0,0.0,449,$36322960
