date,raceNo,horseNo,odds,plc,Horse No.,Last 6 Runs,Colour,Horse,Brand No.,Jockey,Over Wt.,Draw,Trainer,Rtg.,Rtg.+/-,Horse Wt. (Declaration),Wt.+/- (vs Declaration),Best Time,Age,WFA,Season Stakes,Priority,Gear,Owner,Sire,Dam,Import Cat.,AWT,road,dist,class,Runs_1,Runs_2,Runs_3,Runs_4,Runs_5,Runs_6,Gear_1,Gear_2,Gear_3,Gear_4,Gear_5,B,H,TT,CP,V,XB,SR,P,PC,E,BO,SB,PS,Sex_c,Sex_f,Sex_g,Sex_h,Sex_m,Sex_r,going_FAST,going_GOOD,going_GOOD TO FIRM,going_GOOD TO YIELDING,going_WET FAST,going_WET SLOW,going_YIELDING,raceCourse_HV,raceCourse_ST,horseRank,SireRank,DamRank,JockeyRank,TrainerRank,HorseMatchRank
20180902.0,6.0,2.0,5.2,2.0,2.0,3/13/2/13/4/9,nan,BEAUTY DAY,B076,Z Purton,nan,5.0,A S Cruz,57,-7,1100.0,-10,1.22.44,4.0,-,1025800.0,+ 1,B/H,Beautiful People Syndicate,Footstepsinthesand,Lucy Diamonds,PPG,129.0,TURF - B Course,1400M,4,3,13,2,13,4,9,B,H,None,None,None,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5,8.0,2.0,0.39768339768339767,0.2727272727272727,9.0
20180902.0,6.0,9.0,8.9,1.0,9.0,1/2/9/11/1/6,nan,WINNING CONTROLLER,A075,H N Wong,nan,1.0,C H Yip,51,-4,1053.0,-1,1.22.72,5.0,-,685400.0,+ 1,B,Byron Yiu Kwan Tat,Choisir,A Class Act,PPG,120.0,TURF - B Course,1400M,4,1,2,9,11,1,6,B,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.5,11.0,2.0,0.10119047619047619,0.24914675767918087,9.0
20180909.0,8.0,6.0,49.0,11.0,6.0,7/7/4/4,nan,ROCKAGE,B242,U Rispoli,nan,2.0,F C Lor,51,+26,1016.0,+8,nan,3.0,-,0.0,+ 1,XB,Mr & Mrs Stephen Ho Wai Man Fred Ho Ka Chun and Derek Ho Ka Chung,Society Rock,Box Of Frogs,PPG,126.0,TURF - C Course,1400M,4,7,7,4,4,6.657052206518754,6.618059792556327,XB,None,None,None,None,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.22666087711680427,8.516066000868433,2.1493703864524534,0.2116788321167883,0.475,7.192574902301346
20180909.0,8.0,7.0,17.0,10.0,7.0,2/11/9/12/9,nan,INVESTOR BOOM,A424,M Chadwick,nan,10.0,P F Yiu,47,+30,1177.0,+6,1.23.01,4.0,-,41400.0,1,B,Worldwide Chinese Investors Association,Foxwedge,Thebe,PPG,122.0,TURF - C Course,1400M,4,2,11,9,12,9,6.618059792556327,B,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.5,3.0,1.0,0.13815789473684212,0.24378109452736318,8.0
20180909.0,8.0,8.0,64.0,9.0,8.0,11/13/8,nan,YOUNG GLORY,B292,A Sanna,nan,7.0,M J Freedman,45,+11,1174.0,0,1.23.54,4.0,-,426650.0,1,B/TT-,HKJC Racing Club Limited,Niagara,Divine Miss Em,PPG,120.0,TURF - C Course,1400M,4,11,13,8,6.675155784340404,6.657052206518754,6.618059792556327,B,nan,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,0.0,0.0,0.1320754716981132,0.17391304347826086,2.0
20180909.0,8.0,10.0,145.0,8.0,10.0,12/12/10/3/4/3,nan,FOREVER POSH,V072,C Murray,nan,11.0,R Gibson,44,+7,1043.0,+20,1.22.42,7.0,-,0.0,1,B/TT,Shirley Tsang Huang Yang,Dylan Thomas,Jedrzejczak,PP,119.0,TURF - C Course,1400M,4,12,12,10,3,4,3,B,TT,None,None,None,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,5.0,0.0,0.09523809523809523,0.19444444444444445,2.0
20180909.0,8.0,4.0,9.8,7.0,4.0,10/2/2/1/4/9,nan,VITAL SPRING,A057,C Y Ho,nan,9.0,K W Lui,53,+8,1128.0,+8,1.22.38,6.0,-,55200.0,1,TT,The Executors of the Estate of the late George Wong Kin Wah,Per Incanto,Vital Choice,PPG,126.0,TURF - C Course,1400M,4,10,2,2,1,4,9,TT,None,None,None,None,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.4,13.0,2.0,0.14225941422594143,0.19337016574585636,6.5
20180909.0,8.0,9.0,34.0,6.0,9.0,12/12/10/9/8/10,nan,AVELLINO,T388,D Whyte,nan,8.0,P O'Sullivan,44,+4,1095.0,-17,1.21.98,7.0,-,151800.0,+ 1,B,Vijay Harish Mohinani Nilesh Murli Sajnani & Jaikishin Ishwardas Daswani,Iffraaj,Gatestopper,PP,119.0,TURF - C Course,1400M,4,12,12,10,9,8,10,B,None,None,None,None,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.1,10.0,1.0,0.2109704641350211,0.2619047619047619,4.0
20180909.0,8.0,1.0,4.3,5.0,1.0,3/2/1/2/4/2,nan,ENJOY LIFE,A125,M L Yeung,nan,4.0,Y S Tsui,58,+11,1114.0,+12,1.21.67,5.0,-,722200.0,+ 1,nan,Enrico Chow Yue Hin,Falkirk,Sorbello,PPG,131.0,TURF - C Course,1400M,4,3,2,1,2,4,2,nan,nan,nan,nan,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1.0,5.0,4.0,0.15025906735751296,0.20522388059701493,9.5
20180909.0,8.0,3.0,134.0,4.0,3.0,8/14/10/11/14/12,nan,SUPER FUN,A408,C Wong,nan,3.0,L Ho,57,+12,1071.0,-35,1.23.99,4.0,-,354200.0,1,H,Roger Ngan & Letty Ngan,Dandy Man,Dame Hester,PP,122.0,TURF - C Course,1400M,4,8,14,10,11,14,12,H,None,None,None,None,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0.0,4.0,0.0,0.28,0.1807909604519774,2.0
